Title,Doi,Provided_by,Url
Study provides clues on curbing the aggressive nature of coronavirus,10.1038/s41598-020-74101-0,,https://medicalxpress.com/news/2020-11-clues-curbing-aggressive-nature-coronavirus.html
How the immune system remembers viruses: Memory T cells are formed earlier than previously thought,10.1038/s41590-020-00807-y,Technical University Munich,https://medicalxpress.com/news/2020-11-immune-viruses-memory-cells-earlier.html
Combo-drug treatment for type 2 diabetes remains effective after two years,10.2337/dc19-1350,Thomas Jefferson University,https://medicalxpress.com/news/2020-11-combo-drug-treatment-diabetes-effective-years.html
"Emergency care doctors not getting sufficient 'down time', new study shows",10.1136/bmjopen-2020-041485,University of Plymouth,https://medicalxpress.com/news/2020-11-emergency-doctors-sufficient.html
Higher risk of future fecal incontinence after sphincter injuries,10.1016/j.ajog.2020.08.051,University of Gothenburg,https://medicalxpress.com/news/2020-11-higher-future-fecal-incontinence-sphincter.html
Malaria test as simple as a bandage,10.1038/s41378-020-00206-1,Rice University,https://medicalxpress.com/news/2020-11-malaria-simple-bandage.html
Study finds 1 in 8 patients with cancer harbor inherited genetic mutations,10.1001/jamaoncol.2020.6252,Mayo Clinic,https://medicalxpress.com/news/2020-11-patients-cancer-harbor-inherited-genetic.html
New research identifies link between food insecurity and unengaged distance learning,,University of Texas at San Antonio,https://medicalxpress.com/news/2020-11-link-food-insecurity-unengaged-distance.html
Spotting the symptoms of diabetic retinopathy,,,https://medicalxpress.com/news/2020-11-symptoms-diabetic-retinopathy.html
Nerves keep pancreatic cancer cells from starving,,NYU Langone Health,https://medicalxpress.com/news/2020-11-nerves-pancreatic-cancer-cells-starving.html
Greece imposes lockdown on second largest city,,,https://medicalxpress.com/news/2020-11-greece-imposes-lockdown-largest-city.html
Rural areas have fewer mental health services for young people,10.1001/jamanetworkopen.2020.21471,Washington State University,https://medicalxpress.com/news/2020-11-rural-areas-mental-health-young.html
A new curriculum helps surgical trainees comprehensively treat victims of firearm violence,10.1016/j.jamcollsurg.2020.09.025,American College of Surgeons,https://medicalxpress.com/news/2020-11-curriculum-surgical-trainees-comprehensively-victims.html
"Monkey see others, monkey do: How the brain allows actions based on social cues",10.1038/s41467-020-19026-y,,https://medicalxpress.com/news/2020-11-monkey-brain-actions-based-social.html
Get your flu shot: It might shield you from severe COVID,,,https://medicalxpress.com/news/2020-11-flu-shot-shield-severe-covid.html
App personalizes impact of delayed cancer treatment,,,https://medicalxpress.com/news/2020-11-app-personalizes-impact-cancer-treatment.html
Follow your gut: How farms protect from childhood asthma,10.1038/s41591-020-1095-x,Helmholtz Association of German Research Centres,https://medicalxpress.com/news/2020-11-gut-farms-childhood-asthma.html
New insight into how brain neurons influence choices,10.1038/s41586-020-2880-x,Washington University School of Medicine,https://medicalxpress.com/news/2020-11-insight-brain-neurons-choices.html
Machine learning that predicts anti-cancer drug efficacy,10.1038/s41467-020-19313-8,,https://medicalxpress.com/news/2020-11-machine-anti-cancer-drug-efficacy.html
Q&A: Pandemic exposed weakness in ensuring healthy food access in child care,,University of Michigan,https://medicalxpress.com/news/2020-11-qa-pandemic-exposed-weakness-healthy.html
"It's not if, but how, people use social media that impacts their well-being",10.1007/s10902-020-00291-z,University of British Columbia,https://medicalxpress.com/news/2020-11-people-social-media-impacts-well-being.html
Ultrapotent COVID-19 vaccine candidate designed via computer,10.1016/j.cell.2020.10.043,University of Washington,https://medicalxpress.com/news/2020-11-ultrapotent-covid-vaccine-candidate.html
Molecular interactions regulating trans-synaptic signalling and synapse formation,10.1523/JNEUROSCI.1091-20.2020,,https://medicalxpress.com/news/2020-11-molecular-interactions-trans-synaptic-synapse-formation.html
"Early impact of COVID-19 on scientists revealed in global survey of 25,000",10.3389/fpubh.2020.621563,Frontiers,https://medicalxpress.com/news/2020-11-early-impact-covid-scientists-revealed.html
Outcome of 2016 US election associated with poorer mental health in Clinton voters,10.1007/s11606-020-06328-6,Springer,https://medicalxpress.com/news/2020-11-outcome-election-poorer-mental-health.html
Fracking takes a toll on mental health as drilling and truck traffic rattle neighborhoods,,The Conversation,https://medicalxpress.com/news/2020-11-fracking-toll-mental-health-drilling.html
'BAH-code' reader senses gene-silencing tag in cells,10.1038/s41588-020-00729-3,UNC Lineberger Comprehensive Cancer Center,https://medicalxpress.com/news/2020-11-bah-code-reader-gene-silencing-tag-cells.html
"Age is a primary determinant of melanoma treatment resistance, two studies find",10.1158/2159-8290.CD-20-0329,Johns Hopkins University School of Medicine,https://medicalxpress.com/news/2020-11-age-primary-melanoma-treatment-resistance.html
New free resources launched to help children eat more vegetables,10.1016/j.appet.2018.05.140,University of Reading,https://medicalxpress.com/news/2020-11-free-resources-children-vegetables.html
Twofold infection protection for implants,10.1302/2058-5241.4.180092,Fraunhofer-Gesellschaft,https://medicalxpress.com/news/2020-11-twofold-infection-implants.html
A neighborhood assistance app for city dwellers,,Fraunhofer-Gesellschaft,https://medicalxpress.com/news/2020-11-neighborhood-app-city-dwellers.html
"Want to record your doctor's appointment? Great idea, but first, check it's legal",,The Conversation,https://medicalxpress.com/news/2020-11-doctor-great-idea-legal.html
People with disabilities at risk of being wrongly deemed 'incompetent' by health system,,The Conversation,https://medicalxpress.com/news/2020-11-people-disabilities-wrongly-deemed-incompetent.html
COVID-19 levels in Saskatoon's wastewater point to upcoming increase in cases,,University of Saskatchewan,https://medicalxpress.com/news/2020-11-covid-saskatoon-wastewater-upcoming-cases.html
Germany starts 'wave-breaker' shutdown as Europe locks down,,,https://medicalxpress.com/news/2020-11-germany-wave-breaker-shutdown-europe.html
COVID-19 puts 'hygiene hypothesis' to test,10.1101/2020.07.31.20165696,,https://medicalxpress.com/news/2020-11-covid-hygiene-hypothesis.html
Portugal to declare coronavirus health emergency: PM,,,https://medicalxpress.com/news/2020-11-portugal-declare-coronavirus-health-emergency.html
"People experiencing worsening levels of stress, loneliness, and anger due to COVID-19 pandemic",,University of Southampton,https://medicalxpress.com/news/2020-11-people-experiencing-worsening-stress-loneliness.html
The role of the sun in the spread of viral respiratory diseases,10.1016/j.isci.2020.101605,,https://medicalxpress.com/news/2020-11-role-sun-viral-respiratory-diseases.html
COVID-19 lockdowns cause polio spike in Pakistan,10.1016/j.puhe.2020.09.004,,https://medicalxpress.com/news/2020-11-covid-lockdowns-polio-spike-pakistan.html
Asian-Australians hit hard by the COVID-19 pandemic,,Australian National University,https://medicalxpress.com/news/2020-11-asian-australians-hard-covid-pandemic.html
Hospitals plan to meet urgent need for post COVID-19 rehabilitation,10.1002/pmrj.12506,Harvard Medical School,https://medicalxpress.com/news/2020-11-hospitals-urgent-covid-.html
"Focus on COVID-19 deaths in under-65s for better insights into infection rates across populations, say researchers",10.1038/s41586-020-2918-0,University of Cambridge,https://medicalxpress.com/news/2020-11-focus-covid-deaths-under-65s-insights.html
New method shows potential for the treatment of Alzheimer's disease,10.7150/thno.50263,Uppsala University,https://medicalxpress.com/news/2020-11-method-potential-treatment-alzheimer-disease.html
"Proteogenomic study on circulating proteins gives new insights for translational studies, drug development",10.1038/s42255-020-00287-2,Karolinska Institutet,https://medicalxpress.com/news/2020-11-proteogenomic-circulating-proteins-insights-drug.html
We've been tracking young people's mental health since 2006. COVID has accelerated a worrying decline,,The Conversation,https://medicalxpress.com/news/2020-11-weve-tracking-young-people-mental.html
Do I really need this crown? Dentists admit feeling pressured to offer unnecessary treatments,,The Conversation,https://medicalxpress.com/news/2020-11-crown-dentists-pressured-unnecessary-treatments.html
"Abnormal blood pressure levels while sleeping increase risk of heart disease, stroke",10.1161/CIRCULATIONAHA.120.049730,American Heart Association,https://medicalxpress.com/news/2020-11-abnormal-blood-pressure-heart-disease.html
Seven different 'disease forms' identified in mild COVID-19,10.1111/all.14647,Medical University of Vienna,https://medicalxpress.com/news/2020-11-disease-mild-covid-.html
Underlying design mechanism and morphology of humanized bone probed,10.1126/sciadv.abb9265,Queensland University of Technology,https://medicalxpress.com/news/2020-11-underlying-mechanism-morphology-humanized-bone.html
COVID-19 and public compliance,10.1371/journal.pone.0241227,University of St Andrews,https://medicalxpress.com/news/2020-11-covid-compliance.html
Blood test predicts ovarian cancer better than previously thought,10.1371/journal.pmed.1003295,University of Exeter,https://medicalxpress.com/news/2020-11-blood-ovarian-cancer-previously-thought.html
Biomimicry control for COVID diagnostics,,Wits University,https://medicalxpress.com/news/2020-11-biomimicry-covid-diagnostics.html
More than half of the Dutch population expressed privacy concerns relating to the coronavirus app,,University of Twente,https://medicalxpress.com/news/2020-11-dutch-population-privacy-coronavirus-app.html
Biomarker combination predicts kidney injury in critically ill children,10.1371/journal.pone.0240360,University of Liverpool,https://medicalxpress.com/news/2020-11-biomarker-combination-kidney-injury-critically.html
Global coronavirus death toll tops 1.2 million,,,https://medicalxpress.com/news/2020-11-global-coronavirus-death-toll-tops.html
Europe imposes new virus curbs as anger and frustration swell,,,https://medicalxpress.com/news/2020-11-europe-imposes-virus-curbs-exasperation.html
Canada should approve HIV self-testing,10.1503/cmaj.201160,Canadian Medical Association Journal,https://medicalxpress.com/news/2020-11-canada-hiv-self-testing.html
